date,year,month,dayofmonth,dayofweek,dayofyear,weekofyear,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,year_weekofyear
12/30/1900,1,1,1,2,1,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,101
12/31/1900,1,1,2,3,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,101
1/1/1901,1,1,3,4,3,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,101
1/2/1901,1,1,4,5,4,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,101
1/3/1901,1,1,5,6,5,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,101
1/4/1901,1,1,6,0,6,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/5/1901,1,1,7,1,7,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/6/1901,1,1,8,2,8,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/7/1901,1,1,9,3,9,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/8/1901,1,1,10,4,10,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/9/1901,1,1,11,5,11,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/10/1901,1,1,12,6,12,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/11/1901,1,1,13,0,13,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/12/1901,1,1,14,1,14,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/13/1901,1,1,15,2,15,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/14/1901,1,1,16,3,16,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/15/1901,1,1,17,4,17,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/16/1901,1,1,18,5,18,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/17/1901,1,1,19,6,19,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/18/1901,1,1,20,0,20,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/19/1901,1,1,21,1,21,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/20/1901,1,1,22,2,22,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/21/1901,1,1,23,3,23,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/22/1901,1,1,24,4,24,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/23/1901,1,1,25,5,25,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/24/1901,1,1,26,6,26,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/25/1901,1,1,27,0,27,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105
1/26/1901,1,1,28,1,28,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105
1/27/1901,1,1,29,2,29,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105
1/28/1901,1,1,30,3,30,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105
1/29/1901,1,1,31,4,31,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,105
1/30/1901,1,2,1,5,32,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,105
1/31/1901,1,2,2,6,33,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105
2/1/1901,1,2,3,0,34,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106
2/2/1901,1,2,4,1,35,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106
2/3/1901,1,2,5,2,36,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106
