date,type
1/1/1900,0
1/5/1900,4
1/12/1900,4
2/11/1900,0
2/12/1900,0
3/1/1900,0
3/31/1900,0
4/11/1900,0
4/13/1900,0
4/20/1900,0
4/28/1900,0
4/30/1900,0
5/10/1900,2
5/11/1900,0
5/11/1900,5
5/23/1900,0
6/22/1900,0
6/24/1900,0
6/24/1900,0
6/24/1900,0
7/2/1900,0
7/2/1900,0
7/22/1900,0
7/23/1900,2
7/24/1900,0
8/4/1900,0
8/9/1900,0
8/14/1900,0
8/23/1900,0
9/27/1900,0
10/6/1900,0
10/8/1900,0
10/10/1900,1
11/1/1900,0
11/2/1900,0
11/5/1900,0
11/6/1900,0
11/9/1900,0
11/10/1900,0
11/11/1900,0
12/4/1900,2
12/5/1900,0
12/7/1900,0
12/20/1900,2
12/21/1900,2
12/21/1900,0
12/22/1900,2
12/23/1900,2
12/24/1900,2
12/29/1900,2
12/30/1900,0
2/28/1901,0
3/1/1901,0
3/2/1901,0
3/30/1901,0
4/10/1901,0
4/12/1901,0
4/16/1901,0
4/19/1901,0
4/29/1901,0
5/8/1901,2
5/9/1901,5
5/10/1901,0
5/22/1901,0
6/10/1901,5
6/13/1901,5
6/18/1901,5
6/21/1901,0
6/23/1901,0
6/23/1901,0
6/23/1901,0
6/23/1901,5
6/26/1901,5
6/27/1901,5
6/28/1901,5
6/29/1901,5
7/1/1901,0
7/1/1901,0
7/2/1901,5
7/3/1901,5
7/6/1901,5
7/7/1901,5
7/10/1901,5
7/11/1901,5
7/21/1901,0
7/22/1901,2
7/23/1901,0
8/3/1901,0
8/8/1901,0
8/13/1901,0
8/22/1901,0
9/26/1901,0
10/5/1901,0
10/7/1901,0
10/8/1901,1
10/31/1901,0
11/1/1901,0
11/4/1901,0
11/5/1901,0
11/8/1901,0
11/9/1901,0
11/10/1901,0
11/26/1901,5
11/29/1901,5
12/3/1901,2
12/4/1901,0
12/6/1901,0
12/18/1901,4
12/19/1901,2
12/20/1901,0
12/20/1901,2
12/21/1901,2
12/22/1901,2
12/23/1901,3
12/23/1901,2
12/28/1901,2
12/29/1901,0
12/30/1901,3
1/7/1902,4
2/13/1902,0
2/14/1902,0
2/27/1902,0
3/29/1902,0
3/31/1902,0
4/9/1902,0
4/11/1902,0
4/18/1902,0
4/28/1902,0
5/6/1902,2
5/7/1902,5
5/9/1902,0
5/21/1902,0
6/20/1902,0
6/22/1902,0
6/22/1902,0
6/22/1902,0
6/30/1902,0
6/30/1902,0
7/20/1902,0
7/21/1902,0
7/22/1902,0
8/2/1902,0
8/7/1902,0
8/12/1902,0
8/21/1902,0
9/25/1902,0
10/4/1902,0
10/6/1902,0
10/30/1902,0
10/31/1902,0
11/3/1902,0
11/4/1902,0
11/7/1902,0
11/8/1902,0
11/9/1902,0
11/24/1902,5
11/27/1902,5
12/2/1902,2
12/3/1902,0
12/5/1902,0
12/18/1902,2
12/19/1902,2
12/19/1902,0
12/20/1902,2
12/21/1902,2
12/22/1902,2
12/27/1902,2
2/4/1903,0
2/5/1903,0
2/27/1903,0
3/22/1903,0
3/29/1903,0
4/9/1903,0
4/11/1903,0
4/13/1903,5
4/14/1903,5
4/15/1903,5
4/16/1903,5
4/17/1903,5
4/18/1903,0
4/18/1903,5
4/19/1903,5
4/20/1903,5
4/21/1903,5
4/22/1903,5
4/23/1903,5
4/24/1903,5
4/25/1903,5
4/26/1903,5
4/27/1903,5
4/28/1903,0
4/28/1903,5
4/29/1903,5
4/30/1903,5
5/1/1903,5
5/2/1903,5
5/3/1903,5
5/4/1903,2
5/4/1903,5
5/5/1903,5
5/5/1903,5
5/6/1903,5
5/7/1903,5
5/8/1903,5
5/9/1903,0
5/9/1903,5
5/10/1903,5
5/11/1903,5
5/12/1903,5
5/13/1903,5
5/21/1903,0
5/24/1903,1
6/20/1903,0
6/22/1903,0
6/22/1903,0
6/22/1903,0
6/30/1903,0
6/30/1903,0
7/20/1903,0
7/21/1903,2
7/21/1903,1
7/22/1903,0
8/2/1903,0
8/7/1903,0
8/9/1903,1
8/12/1903,0
8/21/1903,0
9/25/1903,0
10/4/1903,0
10/6/1903,0
10/30/1903,0
10/31/1903,0
11/1/1903,3
11/3/1903,0
11/4/1903,0
11/7/1903,0
11/8/1903,0
11/9/1903,0
11/9/1903,4
11/22/1903,5
11/25/1903,5
12/2/1903,2
12/3/1903,0
12/5/1903,0
12/18/1903,2
12/19/1903,2
12/19/1903,0
12/20/1903,2
12/21/1903,2
12/22/1903,2
12/27/1903,2
12/28/1903,0
12/29/1903,1
2/23/1904,0
2/24/1904,0
2/26/1904,0
3/27/1904,0
4/7/1904,0
4/8/1904,1
4/9/1904,0
4/9/1904,0
4/16/1904,0
4/26/1904,0
5/7/1904,0
5/8/1904,2
5/9/1904,5
5/19/1904,0
5/21/1904,1
6/18/1904,0
6/20/1904,0
6/20/1904,0
6/20/1904,0
6/28/1904,0
6/28/1904,0
7/18/1904,0
7/19/1904,2
7/20/1904,2
7/31/1904,0
8/5/1904,0
8/6/1904,1
8/10/1904,0
